droger
term|score|std|term frequency|document frequency
rättsäkerhet|0.430017|0.027632|1|1
övningsverksamhet|0.428923|0.026877|27|17
trovärdighet|0.427502|0.028581|94|84
riskexponering|0.426867|0.024515|4|4
energisäkerhet|0.426582|0.059630|15|14
trygghet
term|score|std|term frequency|document frequency
frihet|0.580561|0.015697|609|443
studiemiljö|0.551792|0.024899|7|7
tillit|0.538599|0.034768|109|91
rättsäkerhet|0.537653|0.032974|1|1
gemenskap|0.533106|0.027983|117|94
förutsägbarhet|0.499649|0.028853|45|43
delaktighet|0.497047|0.027918|194|153
självbestämmanderätt|0.490503|0.017610|1|1
otrygghet|0.490157|0.034233|205|180
kontinuitet|0.486162|0.026824|204|116
studiero|0.485553|0.039412|19|13
välfärd|0.484571|0.015806|298|240
trivsel|0.478457|0.048697|23|23
rättstrygghet|0.472112|0.055529|6|6
tryggheten|0.467197|0.015377|322|255
rättssäkerhet|0.461898|0.024563|127|108
stabilitet|0.459013|0.045187|141|104
uppväxtvillkor|0.458242|0.028996|11|7
rörlighet|0.458020|0.030979|247|191
säkerhet|0.448854|0.025303|927|610
brott
term|score|std|term frequency|document frequency
våldsbrott|0.714609|0.029645|103|89
sexualbrott|0.704038|0.018189|220|85
övergrepp|0.676818|0.014865|314|179
gärningar|0.669079|0.020897|49|42
brotten|0.660506|0.023519|218|147
brottet|0.651282|0.018723|415|250
våldtäkt|0.610357|0.017364|206|78
våldtäktsbrott|0.606415|0.037516|2|1
sabotage|0.605180|0.023164|20|17
trafikbrott|0.586071|0.024809|14|10
våld|0.586016|0.019140|1556|467
bedrägerier|0.585453|0.025220|82|64
mord|0.567848|0.015367|80|50
brottslighet|0.563425|0.011837|825|417
våldtäkter|0.563415|0.037924|57|41
dataintrång|0.561022|0.021708|7|6
bedrägeribrott|0.550324|0.079692|17|11
immaterialrättsintrång|0.549014|0.068642|1|1
hatbrott|0.548437|0.030224|82|25
narkotikabrott|0.543091|0.050904|61|33
brottslighet
term|score|std|term frequency|document frequency
våldsbrottslighet|0.626254|0.032293|9|9
kriminalitet|0.601031|0.031251|199|125
underrättelseverksamhet|0.593129|0.025303|17|10
brottsligheten|0.574823|0.042062|397|282
gängkriminalitet|0.568514|0.046768|70|43
brott|0.563425|0.011837|3391|1165
terroristbrottslighet|0.559448|0.049166|1|1
bedrägerier|0.552589|0.030182|82|64
terrorism|0.534847|0.020609|239|93
misskötsamhet|0.526864|0.024712|12|6
polisverksamhet|0.526644|0.060809|5|5
gärningar|0.506238|0.036822|49|42
bedrägeri|0.504007|0.034532|22|17
narkotikabrottslighet|0.500443|0.056401|10|6
grova|0.499714|0.030009|488|282
systemhotande|0.490265|0.043495|9|6
våldsbrott|0.481042|0.046605|103|89
vapenhandel|0.480985|0.038910|3|3
vinning|0.475841|0.017196|17|15
människohandel|0.471818|0.042624|35|20
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.601031|0.031251|825|417
utanförskap|0.534920|0.024224|457|301
kriminaliteten|0.531867|0.040420|57|45
gängkriminalitet|0.516731|0.060001|70|43
gängkriminaliteten|0.509949|0.035207|48|27
långtidsarbetslöshet|0.507416|0.031163|4|4
missbruk|0.493472|0.023183|355|209
otrygghet|0.492569|0.028353|205|180
fientlighet|0.491489|0.035242|5|5
droger|0.485144|0.016536|196|93
våldsdåd|0.483082|0.046452|8|8
grova|0.473662|0.028815|488|282
brottsligheten|0.472024|0.037500|397|282
ungdomsbrottslighet|0.465926|0.047632|7|7
utsatthet|0.456456|0.033671|103|94
våldet|0.456278|0.040791|129|89
radikalisering|0.452433|0.034719|145|38
brott|0.449227|0.015852|3391|1165
spelproblem|0.445104|0.050730|1|1
isolering|0.444874|0.036077|48|44
jämlikhet
term|score|std|term frequency|document frequency
kulturens|0.487864|0.024851|47|24
jämställdhet|0.476623|0.044298|292|159
könsmässig|0.473568|0.045290|2|2
mång|0.448683|0.031479|1|1
tolerans|0.430580|0.049683|51|47
fattigdomsminskning|0.430236|0.045693|1|1
kulturmiljöns|0.426746|0.025186|2|2
humanitet|0.424587|0.050760|7|7
individens|0.421796|0.043749|247|188
genus|0.421572|0.052292|3|3
deltagarnas|0.419783|0.057003|6|6
anständiga|0.417477|0.030804|1|1
socialpolitik|0.417154|0.031768|2|2
hälsans|0.414017|0.031892|1|1
konstnärernas|0.410663|0.027131|1|1
åsiktsbildning|0.408638|0.035890|7|7
arbetskraftens|0.403097|0.046061|8|8
demokratins|0.403082|0.027161|64|49
omätbart|0.401477|0.032247|3|3
minoriteternas|0.400319|0.045406|12|6
solidaritet
term|score|std|term frequency|document frequency
demokrati|0.419892|0.043758|296|199
sammanhållning|0.410365|0.033572|25|24
respekt|0.402987|0.051300|349|280
fattigdomsminskning|0.402544|0.059545|1|1
demokratiseringsprocesser|0.398672|0.052953|1|1
pressfrihet|0.396011|0.065229|7|7
samstämmighet|0.394258|0.029321|17|17
mänskliga|0.393472|0.043084|978|386
nedrustning|0.388363|0.036311|5|5
samhörighet|0.383208|0.035214|45|33
religionsfrihet|0.382210|0.042628|47|28
människohandel|0.381972|0.059129|35|20
samvälde|0.381852|0.023489|1|1
tolerans|0.377972|0.023509|51|47
säkerhetspolitik|0.377345|0.033435|32|29
rättsstatsprincipen|0.373653|0.048327|2|2
människosyn|0.372382|0.042767|1|1
empati|0.371501|0.066410|11|11
utsatthet|0.370144|0.038625|103|94
jämställdhet|0.369497|0.049633|292|159
rättvisa
term|score|std|term frequency|document frequency
jämlika|0.473528|0.046951|8|7
konkurrensneutrala|0.459855|0.046283|10|9
likvärdiga|0.437019|0.055403|260|224
fördelningspolitiskt|0.418359|0.046600|4|4
förutsägbara|0.417662|0.040557|58|55
rättvist|0.410745|0.036486|146|129
transparenta|0.407643|0.043702|55|55
frihandel|0.407012|0.034761|100|63
hyfsat|0.397222|0.045900|4|4
medelinkomsttagares|0.391382|0.041346|4|4
fördelaktiga|0.386232|0.049570|19|19
schysta|0.385007|0.034407|6|4
långsiktiga|0.383748|0.052304|897|578
rättssäkra|0.368252|0.036097|24|24
konkurrenskraftiga|0.367620|0.045490|158|111
kulturskapares|0.364265|0.062066|3|3
svårförstådda|0.363081|0.075330|2|2
fördelningspolitik|0.363021|0.048940|1|1
förmånliga|0.362211|0.024969|33|29
överskådliga|0.361742|0.045915|1|1
