droger
term|score|std|term frequency|document frequency
stabilitet|0.534586|0.029775|267|208
effektivitet|0.532503|0.025883|644|525
valfrihet|0.514871|0.040525|441|304
konkurrensneutralitet|0.513386|0.027671|144|105
balans|0.513145|0.031581|799|592
öppenhet|0.508035|0.021816|453|320
neutralitet|0.506700|0.033400|107|69
jämställda|0.504992|0.031438|325|228
förutsebarhet|0.501795|0.050959|19|16
integration|0.496712|0.033405|674|421
frihandel|0.495764|0.053815|82|44
solidaritet|0.492025|0.025399|338|255
