droger
term|score|std|term frequency|document frequency
gäng|0.456475|0.058256|134|93
brottslingar|0.454602|0.029173|111|89
jämlikhet
term|score|std|term frequency|document frequency
företagsanda|0.393464|0.052971|3|3
individualism|0.374812|0.053464|2|2
medborgarskapets|0.371922|0.051995|12|5
omätbart|0.370931|0.026750|3|3
individens|0.368830|0.043980|247|188
väljarnas|0.368754|0.050079|36|29
medborgerliga|0.367849|0.041499|38|20
jämställdhet|0.358903|0.058556|292|159
människans|0.354650|0.042820|116|108
egenvärde|0.343382|0.032104|52|51
biståndsviljan|0.339659|0.112144|2|2
demokratins|0.334490|0.063083|64|49
minoriteternas|0.334426|0.047477|12|6
fundamentala|0.331728|0.068996|29|29
arbetsfördelning|0.330143|0.065702|20|18
kvalitetskonkurrens|0.329565|0.057894|1|1
okränkbara|0.328410|0.043949|7|7
proceduriell|0.327823|0.101411|6|2
kyskhet|0.325179|0.061730|3|3
”barnets|0.324446|0.079482|2|2
solidaritet
term|score|std|term frequency|document frequency
respekt|0.416916|0.028884|349|280
demokrati|0.391953|0.060921|296|199
medkänsla|0.386109|0.080100|3|3
okränkbara|0.384718|0.052379|7|7
rasistiska|0.380007|0.051458|17|16
sida|0.378366|0.038244|460|417
samverkan|0.372845|0.043764|1059|633
formalistiska|0.369426|0.103518|3|3
röst|0.366605|0.050242|114|84
religionsfrihet|0.365123|0.046578|47|28
bildning|0.364970|0.049147|42|30
kamp|0.364832|0.064826|51|36
rättigheter|0.360205|0.044449|1333|583
analys|0.359934|0.046508|507|348
antiziganism|0.359009|0.065210|23|3
historia|0.358527|0.053252|212|145
solidaritetsförklaring|0.356990|0.044126|14|13
krig|0.353003|0.058653|174|131
samhörighet|0.352925|0.045582|45|33
välvilja|0.351174|0.052745|8|8
rättvisa
term|score|std|term frequency|document frequency
förutsägbara|0.469912|0.055236|58|55
rimliga|0.449495|0.048310|511|443
effektiva|0.444140|0.051126|597|474
transparent|0.443597|0.055538|101|90
långsiktiga|0.438260|0.026878|897|578
rättvist|0.429894|0.041154|146|129
långsiktighet|0.428620|0.057657|134|119
likvärdiga|0.423277|0.055290|260|224
privata|0.414682|0.030997|1546|894
öppenhet|0.409273|0.075749|245|200
goda|0.402302|0.052927|2578|1745
innovation|0.401303|0.049145|370|238
tydliga|0.398950|0.021664|1302|934
rättvis|0.397991|0.055310|202|169
företagande|0.392495|0.059283|703|463
konkurrenskraftiga|0.387482|0.047161|158|111
rimlig|0.383028|0.050003|596|525
hälso|0.381059|0.041041|1|1
långtgående|0.377494|0.042910|306|250
stat|0.376886|0.037344|278|236
