droger
term|score|std|term frequency|document frequency
rattfylleri|0.591683|0.038084|178|74
skattebrott|0.591324|0.020681|129|59
skadestånd|0.586634|0.017126|332|154
människohandel|0.584145|0.035207|412|68
straff|0.583478|0.015384|340|227
brottmål|0.582174|0.041153|60|44
omständigheter|0.580941|0.029826|421|351
brottslighet|0.580070|0.015986|1183|445
åtal|0.576713|0.021290|171|122
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.671231|0.027925|924|305
kriminalitet|0.652870|0.029034|315|210
brott|0.580070|0.015986|2510|996
ekobrottslighet|0.568521|0.063287|50|31
smuggling|0.565562|0.061146|107|60
penningtvätt|0.551167|0.053880|106|30
ekobrottsligheten|0.550620|0.047838|104|32
ekobrott|0.550399|0.025893|123|65
våldsbrott|0.547009|0.046528|179|123
verksamhet|0.544634|0.019937|8662|4269
skattefusk|0.534677|0.038600|226|82
svartjobb|0.531977|0.034457|51|42
utsatthet|0.527376|0.035263|207|165
brottsbekämpning|0.508437|0.029241|87|58
politik|0.507152|0.024314|3135|1274
bekämpning|0.504383|0.031868|144|97
handel|0.503110|0.025733|1049|545
kriminaliteten|0.497672|0.045790|69|44
sektor|0.493188|0.032233|745|519
kris|0.488079|0.051572|396|265
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.652870|0.029034|1183|445
drogmissbruk|0.582041|0.058580|87|69
kriminaliteten|0.543786|0.047883|69|44
fattigdom|0.528762|0.036101|360|176
segregation|0.526157|0.036689|286|191
depression|0.519824|0.043376|92|73
narkotika|0.512223|0.020071|577|216
brottsligheten|0.493961|0.035635|924|305
fusk|0.491636|0.033307|138|94
utsatthet|0.489392|0.036200|207|165
droger|0.484685|0.029339|317|199
främlingsfientlighet|0.483029|0.034610|205|92
utslagning|0.480430|0.026318|351|268
missbruk|0.478904|0.036912|759|408
terrorism|0.476906|0.042291|132|48
våldsbrott|0.475948|0.054955|179|123
ekobrottslighet|0.474300|0.038895|50|31
arbetslöshet|0.472760|0.028335|2247|1146
kriminella|0.468799|0.044992|243|180
ohälsa|0.467989|0.035537|749|435
jämlikhet
term|score|std|term frequency|document frequency
delaktighet|0.649519|0.023361|567|433
jämställdhet|0.628917|0.023973|1001|510
rättvisa|0.617430|0.035382|791|536
demokrati|0.532429|0.022238|1249|661
integration|0.529567|0.034379|543|335
välfärd|0.517139|0.024965|1000|618
valfrihet|0.501352|0.026823|386|257
hälsa|0.497888|0.048406|2022|1079
tillgänglighet|0.482105|0.026858|1071|607
folkhälsa|0.475664|0.044541|178|120
trygghet|0.472668|0.031137|1724|1073
värdegrund|0.470128|0.040120|151|92
sammanhållning|0.468664|0.045146|72|60
solidaritet|0.466656|0.035441|294|213
tolerans|0.464001|0.049608|95|84
klyftor|0.457910|0.043707|326|235
ohälsa|0.455962|0.041475|749|435
neutralitet|0.454211|0.033687|97|64
federalism|0.450981|0.035154|3|2
levnadsvillkor|0.449646|0.028224|194|153
solidaritet
term|score|std|term frequency|document frequency
fred|0.589401|0.043066|585|208
demokrati|0.589147|0.031995|1249|661
solidariteten|0.546796|0.062092|75|56
respekt|0.528628|0.044346|698|506
gemenskap|0.515043|0.037424|285|247
rättvisa|0.496163|0.036947|791|536
dialog|0.490748|0.035524|511|358
välfärd|0.486543|0.029866|1000|618
samhällsmodell|0.485289|0.043341|12|11
integration|0.484235|0.034381|543|335
delaktighet|0.471071|0.023557|567|433
jämlikhet|0.466656|0.035441|304|193
jämställdhet|0.462240|0.035119|1001|510
välfärdsmodell|0.461293|0.015031|23|17
säkerhet|0.457780|0.044406|1674|968
oförenlighet|0.453316|0.038344|2|2
samhällsutveckling|0.452068|0.039518|156|128
trygghet|0.450432|0.032066|1724|1073
öppenhet|0.448482|0.047598|360|245
försoning|0.447279|0.043009|52|26
rättvisa
term|score|std|term frequency|document frequency
rättvis|0.632385|0.031975|608|390
jämlikhet|0.617430|0.035382|304|193
välfärd|0.594828|0.030322|1000|618
rättvist|0.554675|0.028861|371|280
likformighet|0.554004|0.038091|81|45
trygghet|0.552763|0.025121|1724|1073
valfrihet|0.551104|0.029439|386|257
jämställdhet|0.549288|0.026390|1001|510
effektivitet|0.538887|0.025788|549|435
rättvisare|0.538627|0.043945|139|121
förutsägbarhet|0.513395|0.050480|30|28
tillväxt|0.513270|0.024866|3143|1479
delaktighet|0.512904|0.042450|567|433
frihandel|0.504869|0.022995|79|43
tillgänglighet|0.502596|0.017265|1071|607
stabilitet|0.500359|0.030996|210|162
balans|0.500311|0.029300|696|501
långsiktighet|0.499022|0.028152|200|162
solidaritet|0.496163|0.036947|294|213
integration|0.489199|0.031895|543|335
