droger
term|score|std|term frequency|document frequency
företagskultur|0.420061|0.028566|2|2
sanitet|0.418332|0.022169|1|1
hälsa|0.418331|0.044524|635|447
krishantering|0.417646|0.029703|2|2
hygien|0.417587|0.035249|8|8
betalningsvilja|0.412255|0.035489|1|1
upprätt|0.411630|0.028093|1|1
trygghet
term|score|std|term frequency|document frequency
trygg|0.504785|0.023813|270|229
frihet|0.503951|0.029787|246|206
inkomsttrygghet|0.474005|0.011758|22|18
grundtrygghet|0.465842|0.035294|5|5
rättsäkerhet|0.460472|0.030770|5|5
tryggheten|0.455556|0.034226|163|134
rehabilitering|0.453004|0.042787|271|153
förtroende|0.448909|0.026609|177|149
livskvalitet|0.445534|0.043038|75|72
betalningsvilja|0.444275|0.021918|1|1
tillit|0.441215|0.028911|53|50
skydd|0.439562|0.024961|813|526
otrygghet|0.436303|0.052648|105|95
framtidstro|0.435289|0.041023|43|42
sjukförsäkring|0.431588|0.060998|86|52
arbetsmiljö|0.428862|0.041661|334|209
självkänsla|0.426161|0.031242|23|23
levnadsstandard|0.422545|0.037608|25|25
meningsfull|0.422016|0.034205|77|65
stabilitet|0.420733|0.045520|57|46
brott
term|score|std|term frequency|document frequency
sexualbrott|0.697767|0.036239|77|44
brotten|0.689941|0.032212|51|49
övergrepp|0.682583|0.023424|446|184
gärningar|0.668197|0.021826|7|7
våldsbrott|0.660244|0.036724|16|16
barnpornografibrott|0.633281|0.040575|1|1
brottet|0.618028|0.021554|107|73
narkotikabrott|0.599457|0.030034|6|6
våldtäkt|0.598207|0.027025|85|45
förseelser|0.595507|0.041450|6|5
miljöbrott|0.576389|0.030701|4|2
våldtäkter|0.574331|0.038353|44|33
krigsförbrytelser|0.573134|0.040322|9|9
seriebrott|0.571431|0.037689|1|1
förtal|0.570040|0.032672|5|4
förbrott|0.566337|0.020380|1|1
skattebrott|0.558135|0.036455|17|11
våldtäktsbrott|0.557535|0.057783|6|5
trafikbrott|0.556379|0.052391|28|17
folkmord|0.555770|0.044884|16|13
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.531277|0.023431|75|63
narkotikahandel|0.530825|0.044477|3|3
vinning|0.502729|0.042008|12|11
terrorism|0.476741|0.030646|15|5
organiserade|0.476040|0.040640|227|128
radikalisering|0.475086|0.033331|4|3
smuggling|0.473177|0.045178|12|10
brottsligheten|0.470621|0.041941|177|114
människosmuggling|0.465747|0.017608|1|1
förskingring|0.464539|0.029682|1|1
extremism|0.456324|0.051191|22|11
sabotage|0.451646|0.028800|9|7
misskötsamhet|0.451019|0.035903|4|3
skattebrott|0.450403|0.035481|17|11
skatteundandragande|0.449590|0.033905|17|12
grova|0.446172|0.044433|102|77
penningtvätt|0.441209|0.056458|20|10
ungdomsbrottslighet|0.437624|0.039128|5|5
skatteflykt|0.434358|0.048017|22|13
utsatthet|0.430200|0.045308|117|96
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.531277|0.023431|254|167
radikalisering|0.501600|0.051019|4|3
ohälsa|0.498284|0.024699|402|254
narkotikamissbruk|0.489559|0.048614|7|7
återfall|0.473240|0.040141|20|13
främlingsfientlighet|0.466185|0.038465|17|13
droger|0.465539|0.038129|87|52
hemlöshet|0.465192|0.056457|66|24
extremism|0.459822|0.030141|22|11
brottsligheten|0.459316|0.042585|177|114
drogmissbruk|0.449113|0.072619|4|4
antibiotikaresistens|0.448424|0.031124|7|6
ordningsstörningar|0.444731|0.040663|1|1
organiserade|0.444004|0.038543|227|128
missbruk|0.442819|0.033334|273|198
utanförskap|0.432634|0.044195|106|98
överutnyttjande|0.432584|0.059874|3|3
resistenta|0.431824|0.034405|8|7
välfärdsbrott|0.427742|0.034868|9|6
utslagning|0.426265|0.035538|25|22
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.572482|0.046942|279|175
demokrati|0.525203|0.023488|309|249
ojämlikhet|0.517660|0.037576|62|53
rättvisa|0.516591|0.027903|140|117
frihandel|0.508060|0.032081|3|1
sammanhållning|0.497561|0.046716|30|30
könen|0.481867|0.048029|49|47
samstämmighet|0.478241|0.031800|7|7
integration|0.469102|0.062117|131|86
solidaritet|0.468971|0.035745|44|42
jämlikt|0.461960|0.053391|98|78
pluralism|0.447231|0.047770|3|3
anständiga|0.447062|0.038206|6|5
mediemångfald|0.445374|0.061332|1|1
fattigdomsminskning|0.441871|0.059579|2|2
likvärdighet|0.436163|0.052632|52|42
inkludering|0.433846|0.041422|23|17
tolerans|0.431219|0.041555|20|17
grundidéer|0.430104|0.036825|2|1
självständighet|0.428438|0.041622|93|68
solidaritet
term|score|std|term frequency|document frequency
sammanhållning|0.541428|0.045682|30|30
frihandel|0.508244|0.043265|3|1
rättighetsperspektivet|0.503973|0.027905|3|3
union|0.499265|0.051394|4|4
integration|0.494070|0.036178|131|86
fattigdomsminskning|0.486836|0.036153|2|2
samhörighet|0.486441|0.034918|15|15
handelspolitik|0.475197|0.038378|4|4
människovärdet|0.473198|0.051148|8|5
jämlikhet|0.468971|0.035745|105|84
marknadsekonomi|0.466026|0.056516|2|1
kopplingarna|0.465263|0.032554|7|7
solidariteten|0.464929|0.043252|12|11
tolerans|0.460947|0.028708|20|17
demokratisering|0.460914|0.064248|8|7
ungdomsutbyte|0.459398|0.036086|3|3
humanitet|0.459293|0.051376|5|4
demokrati|0.456475|0.022868|309|249
konfliktlösning|0.452961|0.035347|9|4
socialpolitik|0.446917|0.033237|1|1
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.516591|0.027903|105|84
balanserad|0.496733|0.039308|10|10
jämställda|0.495828|0.033920|91|68
jämlika|0.471944|0.037710|132|110
anständiga|0.464555|0.028752|6|5
konkurrensneutrala|0.449129|0.033360|11|11
frihandel|0.432655|0.048897|3|1
demokrati|0.431191|0.042349|309|249
samstämmighet|0.425168|0.045094|7|7
rättvisare|0.422451|0.049299|26|20
rättsstatens|0.414940|0.039240|3|2
proportionalitet|0.412471|0.019240|8|8
förutsägbarhet|0.412377|0.030781|10|9
progressiv|0.410964|0.041026|15|13
rättvis|0.409688|0.037229|142|128
likformiga|0.408908|0.043147|7|7
sjysta|0.408355|0.030044|25|19
rättvist|0.404842|0.031882|111|101
neutralitet|0.404815|0.030786|10|5
inkluderande|0.404116|0.025094|54|46
