droger
term|score|std|term frequency|document frequency
trygg|0.496891|0.022090|626|515
rättsäkerhet|0.496405|0.039561|16|16
brott
term|score|std|term frequency|document frequency
övergrepp|0.766239|0.010163|1353|549
sexualbrott|0.762969|0.009868|228|114
brotten|0.759875|0.023640|192|152
våldsbrott|0.741969|0.019580|195|139
brottet|0.727729|0.019556|351|233
gärningar|0.705633|0.019565|43|42
krigsförbrytelser|0.705177|0.022760|31|22
barnpornografibrott|0.693193|0.023949|67|32
förseelser|0.681301|0.023857|53|44
bedrägeribrott|0.670445|0.033520|1|1
trafikbrott|0.652085|0.025801|59|38
våldtäkter|0.646616|0.028922|140|90
gärningsmän|0.638732|0.026751|56|48
överträdelser|0.636390|0.020563|98|84
våldshandlingar|0.634646|0.038531|68|44
våldtäkt|0.632947|0.028232|298|154
seriebrott|0.631534|0.053154|1|1
mutbrott|0.629024|0.023052|21|9
hatbrott|0.622794|0.024288|150|30
lagbrott|0.621830|0.047729|33|32
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.646447|0.019814|1101|419
kriminalitet|0.635668|0.017418|390|273
narkotikabrottslighet|0.627227|0.053401|10|8
terroristbrottslighet|0.622624|0.029785|1|1
ekobrottslighet|0.617070|0.036098|51|32
narkotikabrottsligheten|0.616686|0.022445|27|15
miljöbrottslighet|0.595023|0.028505|8|5
smuggling|0.588394|0.023509|119|70
kriminaliteten|0.587526|0.032315|89|61
bedrägeri|0.573224|0.020387|35|29
penningtvätt|0.570038|0.026660|126|40
skattefusk|0.568316|0.032359|309|122
vinning|0.565688|0.018526|44|38
ekobrott|0.564939|0.019674|130|71
underrättelseverksamhet|0.562847|0.035073|12|9
förskingring|0.561203|0.026154|13|10
skattebrott|0.550981|0.016131|146|70
spaning|0.543555|0.026862|41|37
utsatthet|0.542392|0.031494|324|261
bedrägerier|0.542190|0.037696|62|47
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.635668|0.017418|1437|612
drogmissbruk|0.580755|0.024191|91|73
extremism|0.560405|0.028086|30|17
radikalisering|0.559923|0.031571|5|4
kriminaliteten|0.538742|0.031465|89|61
depression|0.533307|0.027540|117|96
fattigdom|0.532352|0.033690|518|289
skadegörelse|0.527486|0.047467|79|55
terroristbrottslighet|0.527270|0.029580|1|1
misär|0.525440|0.039909|57|53
fientlighet|0.523533|0.029605|5|5
återfall|0.515435|0.028663|147|71
segregation|0.514015|0.019621|340|237
fritagning|0.510795|0.016224|1|1
utsatthet|0.509835|0.039070|324|261
marginalisering|0.507985|0.035235|22|20
grövre|0.504652|0.035564|114|95
intolerans|0.504521|0.037810|54|46
minalitet|0.503820|0.101183|1|1
narkotikahandel|0.502938|0.028653|14|13
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.666108|0.021100|1280|685
rättvisa|0.665256|0.007788|931|653
delaktighet|0.604509|0.022298|784|604
sammanhållning|0.578346|0.024870|102|90
demokrati|0.572184|0.018141|1558|910
ställdhet|0.561769|0.018810|1|1
mediemångfald|0.547083|0.037432|1|1
integration|0.542607|0.041704|674|421
ickediskriminering|0.536480|0.027264|21|18
könen|0.532032|0.035395|268|212
likvärdighet|0.531307|0.036216|109|74
tolerans|0.522295|0.033644|115|101
ojämlikhet|0.521341|0.032799|126|115
valfrihet|0.511110|0.038057|441|304
likformighet|0.502167|0.029770|99|57
samstämmighet|0.500002|0.031382|88|76
livschanser|0.497934|0.032422|52|50
inkludering|0.490718|0.047810|28|21
solidaritet|0.488634|0.028607|338|255
folkhälsa|0.487404|0.025456|223|159
solidaritet
term|score|std|term frequency|document frequency
sammanhållning|0.593026|0.034061|102|90
fred|0.588407|0.033104|722|290
integration|0.570736|0.027455|674|421
demokrati|0.562277|0.024900|1558|910
tolerans|0.561227|0.025818|115|101
gemenskap|0.553360|0.034899|362|320
solidariteten|0.545396|0.039689|87|67
humanism|0.522334|0.052385|41|24
demokratisering|0.511111|0.037694|80|51
värderingar|0.509539|0.017591|599|451
samhällsutveckling|0.505359|0.040734|199|169
fattigdomsminskning|0.504732|0.032904|8|6
världsordning|0.502017|0.030471|29|22
rättighetsperspektivet|0.497890|0.043850|7|7
människovärdet|0.493936|0.054186|50|33
resiliens|0.491384|0.031864|2|2
jämställdhet|0.489129|0.017700|1280|685
jämlikhet|0.488634|0.028607|409|277
migration|0.484290|0.021529|125|66
polarisering|0.480764|0.041363|48|43
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.665256|0.007788|409|277
likformighet|0.601640|0.037139|99|57
rättvis|0.577421|0.025748|750|518
förutsägbarhet|0.576886|0.031044|40|37
neutralitet|0.548205|0.036380|107|69
rättvisare|0.542953|0.036252|165|141
jämställdhet|0.541474|0.027855|1280|685
anständiga|0.520832|0.024729|23|22
proportionalitet|0.519916|0.042014|21|18
jämlika|0.516256|0.035590|275|238
ojämlikhet|0.506800|0.029954|126|115
konkurrensneutralitet|0.505425|0.022983|144|105
sammanhållning|0.502580|0.024777|102|90
ickediskriminering|0.501011|0.027306|21|18
rättvist|0.495447|0.034025|482|381
valfrihet|0.495286|0.033766|441|304
öppenhet|0.491219|0.030766|453|320
samstämmighet|0.488613|0.022927|88|76
humanitet|0.488304|0.046281|21|18
välfärd|0.488056|0.013499|1381|893
