droger
term|score|std|term frequency|document frequency
narkotikamissbruk|0.611896|0.025716|166|87
kriminaliteten|0.611139|0.028586|134|107
missbruket|0.592035|0.035348|332|169
våldet|0.590821|0.031921|421|241
droger|0.578674|0.029843|607|261
narkotika|0.576403|0.024023|1569|445
drogmissbruk|0.575598|0.041187|120|92
gängkriminaliteten|0.561550|0.032822|56|35
alkoholmissbruk|0.558454|0.026948|85|51
kriminella|0.556330|0.019434|1360|670
brott|0.552598|0.032498|8847|2502
vardagsbrottsligheten|0.546860|0.028885|51|37
brottslingar|0.544041|0.035045|643|287
våldsbrottslighet|0.539440|0.057440|28|26
narkotikabrottsligheten|0.535720|0.035521|40|30
misär|0.532862|0.024816|87|68
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.624792|0.038317|880|334
rättvisa|0.513362|0.034717|722|567
integration|0.506346|0.049757|810|483
likabehandling|0.501687|0.039596|195|145
solidaritet|0.490403|0.050536|167|123
mångfald|0.464854|0.053038|2494|1128
könsmässig|0.455035|0.049436|5|5
religionsfrihet|0.452714|0.040302|86|54
likaberättigande|0.450802|0.042143|6|6
demokrati|0.449640|0.033542|1941|732
humanitet|0.446888|0.040184|40|34
bildning|0.445159|0.038317|143|108
individualism|0.443116|0.035817|22|17
delaktighet|0.441607|0.042031|521|390
jämställdhetsperspektivet|0.437453|0.046670|8|7
enhetlighet|0.436657|0.041990|73|64
etos|0.434842|0.047719|4|4
könen|0.434193|0.030188|151|101
sammanhållning|0.432235|0.064890|58|52
feminism|0.431113|0.041804|3|3
solidaritet
term|score|std|term frequency|document frequency
respekt|0.559680|0.023713|1511|937
gemenskap|0.527737|0.035706|364|301
trygghet|0.517909|0.032646|3394|1748
jämställdhet|0.505951|0.045931|880|334
öppenhet|0.496353|0.018532|689|504
integration|0.494704|0.041929|810|483
jämlikhet|0.490403|0.050536|132|113
vilja|0.489402|0.028071|2788|2024
stabilitet|0.483686|0.033756|556|350
samhörighet|0.479541|0.037670|147|125
omtanke|0.473858|0.053712|102|87
samverkan|0.467681|0.032206|3166|1683
säkerhet|0.462523|0.025851|2582|1563
empati|0.461824|0.035392|37|35
maktdelning|0.458697|0.062096|140|36
medkänsla|0.454483|0.039972|22|22
civilkurage|0.451154|0.032117|10|9
generositet|0.449730|0.055726|55|53
dialog|0.448522|0.039068|599|438
delaktighet|0.445798|0.049017|521|390
rättvisa
term|score|std|term frequency|document frequency
jämställdhet|0.532555|0.038286|880|334
likabehandling|0.529852|0.032792|195|145
valfrihet|0.529135|0.020465|2637|1097
rättvist|0.524348|0.035015|440|389
jämlikhet|0.513362|0.034717|132|113
förutsägbarhet|0.509331|0.038993|146|133
likvärdiga|0.505102|0.031664|903|682
rimliga|0.502445|0.036709|1564|1285
stabila|0.488904|0.035479|532|353
avtalsfrihet|0.486105|0.055425|79|60
rättssäkerhet|0.485346|0.033980|710|482
stabilitet|0.481775|0.028686|556|350
rättvis|0.480682|0.029707|498|416
flexibilitet|0.480529|0.018987|955|683
trygghet|0.466224|0.027953|3394|1748
mångfald|0.466006|0.026767|2494|1128
etableringsfrihet|0.460477|0.046571|258|149
konkurrensneutralitet|0.454278|0.028568|447|302
konkurrens|0.452626|0.025284|5277|2145
rättvisare|0.452584|0.047680|114|107
