droger
term|score|std|term frequency|document frequency
driftssäkerhet|0.480550|0.047313|6|5
konkurrenskraft|0.477765|0.018019|1734|1000
robusthet|0.475855|0.042649|38|34
livsmedelsförsörjning|0.475283|0.021298|71|60
välfärd|0.475023|0.019138|1239|718
styrka|0.471807|0.025498|689|574
auktoritet|0.465809|0.051788|59|51
räddningspersonalens|0.465726|0.041092|8|7
trygghet
term|score|std|term frequency|document frequency
frihet|0.647615|0.018288|2921|1485
otrygghet|0.641971|0.013047|463|375
delaktighet|0.626367|0.025870|521|390
tryggheten|0.603754|0.022818|747|519
rättstrygghet|0.602669|0.031383|246|145
välfärd|0.594334|0.011556|1239|718
tillit|0.591665|0.021994|171|149
värdighet|0.590475|0.020192|136|96
valfrihet|0.576329|0.012602|2637|1097
gemenskap|0.576110|0.015439|364|301
sammanhållning|0.573932|0.019936|58|52
grundtrygghet|0.567986|0.023011|69|56
stabilitet|0.565556|0.024245|556|350
livskvalitet|0.548508|0.016800|368|292
trivsel|0.543369|0.037330|87|84
säkerhet|0.535173|0.019095|2582|1563
rättssäkerhet|0.534038|0.014353|710|482
rättsäkerhet|0.533284|0.031069|9|9
respekt|0.533112|0.019419|1511|937
förutsägbarhet|0.528179|0.014603|146|133
brott
term|score|std|term frequency|document frequency
våldsbrott|0.837408|0.017306|565|307
brotten|0.773196|0.014449|529|343
sexualbrott|0.764896|0.014370|332|154
brottet|0.740876|0.013800|1023|534
övergrepp|0.732030|0.016229|869|443
våldtäkter|0.688105|0.023249|157|94
gärningar|0.674115|0.021342|149|107
gärningsmän|0.657899|0.022754|196|136
rattfylleribrott|0.656479|0.052707|39|27
trafiknykterhetsbrott|0.653380|0.047499|36|14
misshandelsbrott|0.650791|0.018286|77|53
våldtäkt|0.641134|0.011939|392|153
trafikbrott|0.635999|0.021044|61|39
narkotikabrott|0.633574|0.022203|343|123
bedrägeribrott|0.630601|0.067470|18|12
terroristdåd|0.628984|0.031460|5|5
våldtäktsbrott|0.619497|0.033368|15|9
mord|0.617983|0.023949|331|145
tillgreppsbrott|0.615171|0.024005|38|27
brottslingar|0.614158|0.015961|643|287
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.753966|0.016040|646|386
brottsligheten|0.681033|0.007744|1417|622
våldsbrottslighet|0.666184|0.030767|28|26
narkotikabrottslighet|0.659829|0.024901|66|34
terroristbrottslighet|0.646759|0.032821|1|1
gängkriminalitet|0.616418|0.019645|71|44
brott|0.609020|0.013158|8847|2502
terrorism|0.606833|0.028650|502|162
brotts|0.604238|0.021668|38|32
narkotikabrottsligheten|0.604003|0.022415|40|30
misskötsamhet|0.602020|0.010092|20|12
underrättelseverksamhet|0.591577|0.026734|31|21
människohandel|0.576917|0.027414|192|66
narkotikasmuggling|0.575695|0.028834|46|28
brotten|0.560633|0.028252|529|343
våldsbrott|0.559696|0.026125|565|307
grova|0.558516|0.008171|1017|597
smuggling|0.552605|0.024306|243|154
kriminalitets|0.550216|0.031902|3|3
spaning|0.548896|0.028514|51|44
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.753966|0.016040|2199|928
gängkriminalitet|0.636088|0.023600|71|44
drogmissbruk|0.616115|0.026395|120|92
brottsligheten|0.616061|0.014956|1417|622
missbruk|0.610437|0.018762|1367|677
våldsbrottslighet|0.604082|0.035363|28|26
kriminaliteten|0.602101|0.017482|134|107
narkotikamissbruk|0.574646|0.019876|166|87
missbruket|0.560320|0.024993|332|169
narkotikahantering|0.560032|0.051461|14|14
misär|0.554555|0.035604|87|68
narkotika|0.552733|0.025463|1569|445
alkoholmissbruk|0.552634|0.034436|85|51
våldet|0.546305|0.017260|421|241
utsatthet|0.537699|0.031194|185|158
narkotikabrottsligheten|0.535018|0.030218|40|30
utanförskap|0.533029|0.029844|933|535
terroristbrottslighet|0.532020|0.029755|1|1
droger|0.530900|0.035082|607|261
vålds|0.528209|0.031107|33|28
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.586771|0.043508|880|334
likabehandling|0.527879|0.046726|195|145
sammanhållning|0.487911|0.033678|58|52
integration|0.487293|0.022719|810|483
rättvisa|0.477838|0.026971|722|567
egenmakt|0.471490|0.041851|96|75
inkludering|0.468892|0.050921|29|22
bildning|0.466119|0.050433|143|108
tolerans|0.461345|0.034101|117|106
studiero|0.459668|0.024508|37|22
interkulturell|0.459327|0.042371|9|6
samhällsgemenskap|0.450879|0.045608|2|2
demokrati|0.449388|0.026995|1941|732
likvärdighet|0.449323|0.040040|107|83
solidaritet|0.448658|0.028331|167|123
mång|0.447582|0.026190|6|6
yttrandefrihet|0.444499|0.036948|258|153
delaktighet|0.440705|0.047294|521|390
fald|0.439933|0.034692|1|1
ställdhet|0.435284|0.043409|1|1
solidaritet
term|score|std|term frequency|document frequency
gemenskap|0.544540|0.030785|364|301
integration|0.513895|0.030822|810|483
demokrati|0.510363|0.034762|1941|732
försoning|0.506563|0.035438|51|39
respekt|0.505986|0.031659|1511|937
samhörighet|0.501246|0.025270|147|125
sammanhållning|0.482887|0.044108|58|52
jämställdhet|0.482125|0.032764|880|334
religionsfrihet|0.458207|0.040678|86|54
medkänsla|0.457042|0.043395|22|22
solidariteten|0.452759|0.046826|20|19
sympati|0.451445|0.036168|23|21
empati|0.450434|0.042350|37|35
maktdelning|0.450023|0.032429|140|36
jämlikhet|0.448658|0.028331|132|113
samhällsgemenskap|0.447931|0.034076|2|2
ömsesidighet|0.447647|0.038590|20|18
värdighet|0.447213|0.036006|136|96
partnerländerna|0.445359|0.035932|23|7
öppenhet|0.444324|0.028774|689|504
rättvisa
term|score|std|term frequency|document frequency
jämlika|0.546219|0.037815|42|35
jämställdhet|0.528857|0.031465|880|334
förutsägbarhet|0.526539|0.061015|146|133
valfrihet|0.492495|0.025132|2637|1097
likabehandling|0.492328|0.045788|195|145
rättssäkerhet|0.489932|0.021600|710|482
anständiga|0.482478|0.038196|13|13
jämlikhet|0.477838|0.026971|132|113
avtalsfrihet|0.471918|0.026963|79|60
egenmakt|0.470953|0.032213|96|75
förutsebara|0.466397|0.037415|58|54
rättvis|0.465803|0.042703|498|416
skipas|0.459121|0.045272|7|7
rättvist|0.458853|0.043845|440|389
likformighet|0.457014|0.034266|70|58
flexibilitet|0.452186|0.027806|955|683
förutsebarhet|0.448799|0.030514|94|75
neutralitet|0.447630|0.040182|108|97
drägliga|0.447157|0.031464|17|17
öppenhet|0.445066|0.040639|689|504
