droger
term|score|std|term frequency|document frequency
valfrihet|0.664462|0.012891|2184|828
välfärd|0.655325|0.024226|941|478
otrygghet|0.638861|0.023826|258|195
värdighet|0.617611|0.023996|109|72
individen|0.599709|0.026693|856|554
stabilitet|0.588828|0.024327|415|246
säkerhet|0.586702|0.018334|1655|953
hälsa|0.581227|0.024247|1636|751
respekt|0.578912|0.021973|1162|657
rättssäkerhet|0.573789|0.016436|583|374
flexibilitet|0.568791|0.014812|701|476
rättstrygghet|0.565576|0.027706|240|139
gemenskap|0.555730|0.036467|247|207
grundtrygghet|0.554967|0.034865|54|41
försörjning|0.553328|0.021569|630|409
förtroende|0.545233|0.014517|729|509
välbefinnande|0.542296|0.030315|178|140
brott
term|score|std|term frequency|document frequency
våldsbrott|0.831916|0.012102|462|218
brotten|0.762013|0.024342|311|196
brottet|0.761358|0.018462|608|284
övergrepp|0.718673|0.018805|555|264
rån|0.676482|0.032003|299|115
narkotikabrott|0.674246|0.028973|282|90
straff|0.673882|0.020249|1134|448
våld|0.667846|0.018344|1753|548
brottsligheten|0.653989|0.024554|1020|340
våldtäkter|0.647045|0.029618|100|53
brottsoffer|0.636993|0.030517|700|178
brottslighet|0.636143|0.015661|1374|511
brottslingar|0.634486|0.018723|532|198
gärningar|0.631426|0.018404|100|65
åtal|0.631144|0.016009|241|161
sexualbrott|0.630518|0.032236|112|69
mobbning|0.618822|0.017758|1255|104
gärningsmän|0.617809|0.032952|101|68
missbruk|0.608332|0.025290|1012|468
misshandel|0.606278|0.027114|597|249
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.737822|0.024275|447|261
brottsligheten|0.691531|0.020380|1020|340
brott|0.636143|0.015661|5456|1337
misshandel|0.571767|0.033136|597|249
narkotikabrott|0.570111|0.024155|282|90
narkotikabrottslighet|0.551505|0.049124|56|28
vardagsbrottsligheten|0.549383|0.026981|42|29
våldsbrott|0.544988|0.018125|462|218
grova|0.539483|0.044352|529|315
terrorism|0.532205|0.028918|263|69
brottsbekämpning|0.531296|0.032112|254|133
våld|0.528638|0.009878|1753|548
gärning|0.528521|0.028375|141|109
avlyssning|0.527629|0.021569|100|34
brottet|0.525785|0.015287|608|284
brotten|0.523861|0.032473|311|196
verksamhet|0.515859|0.017192|10096|3853
ekobrott|0.511648|0.030172|39|32
aktivitet|0.510805|0.027735|591|306
människohandel|0.508965|0.029932|157|46
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.737822|0.024275|1374|511
brottsligheten|0.614885|0.037140|1020|340
drogmissbruk|0.562604|0.060016|115|87
droger|0.562448|0.035067|411|168
våld|0.559457|0.023996|1753|548
missbruk|0.555775|0.057847|1012|468
narkotika|0.552461|0.032445|1244|316
missbruket|0.547175|0.022824|281|127
våldet|0.542118|0.043445|292|152
narkotikamissbruk|0.538020|0.032599|149|71
brott|0.534385|0.039946|5456|1337
kriminella|0.526171|0.045788|401|227
skadegörelse|0.519193|0.048875|170|104
misär|0.516856|0.027540|85|66
misshandel|0.515806|0.046356|597|249
narkotikan|0.507746|0.030281|275|108
smuggling|0.504942|0.045312|155|103
alkoholmissbruk|0.503359|0.035867|82|48
smittspridning|0.489817|0.026846|106|44
segregation|0.487790|0.021974|301|132
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.549091|0.028701|588|175
likabehandling|0.459240|0.042614|158|114
rättvisa|0.456074|0.030088|531|402
integration|0.452223|0.049934|542|308
enhetlighet|0.426959|0.040404|58|53
delaktighet|0.425670|0.033752|327|237
autonomi|0.414308|0.075417|29|25
valfrihet|0.411264|0.036583|2184|828
mångfald|0.411164|0.036212|1933|784
koordination|0.402214|0.074154|13|13
demokrati|0.392050|0.052968|1645|533
frihet|0.387103|0.029941|2312|1042
individualism|0.387044|0.071801|20|15
kunskapsjämförelser|0.386311|0.064423|6|4
trygghet|0.383949|0.041792|2506|1087
proportionalitet|0.382188|0.050380|66|37
könen|0.376479|0.033272|118|80
yttrandefrihet|0.375403|0.040908|229|125
solidaritet|0.374682|0.039343|120|86
öppenhet|0.373580|0.034822|444|304
solidaritet
term|score|std|term frequency|document frequency
gemenskap|0.500319|0.056310|247|207
respekt|0.494765|0.033883|1162|657
stabilitet|0.486692|0.038384|415|246
trygghet|0.486100|0.034341|2506|1087
integration|0.466190|0.044893|542|308
vilja|0.450501|0.044758|1869|1287
rättvisa|0.450356|0.034053|531|402
öppenhet|0.449639|0.024552|444|304
tydlighet|0.444962|0.043118|282|244
valfrihet|0.442889|0.037144|2184|828
sympati|0.442347|0.065763|23|21
jämställdhet|0.435933|0.027517|588|175
demokrati|0.430640|0.034638|1645|533
frihet|0.426948|0.043994|2312|1042
islam|0.423107|0.031579|37|13
samverkan|0.422924|0.048253|2107|1050
medborgarna|0.421672|0.041063|2243|1124
familjerna|0.412619|0.055972|250|159
omtanke|0.409780|0.056432|89|77
politik|0.406467|0.039985|4935|1467
rättvisa
term|score|std|term frequency|document frequency
valfrihet|0.566557|0.029472|2184|828
jämställdhet|0.523526|0.027708|588|175
trygghet|0.515089|0.041699|2506|1087
rättssäkerhet|0.501622|0.035519|583|374
rättvisare|0.497952|0.038250|78|73
frihet|0.493199|0.037411|2312|1042
avtalsfrihet|0.488158|0.044327|58|45
rättvist|0.485111|0.031175|294|260
integration|0.472086|0.031791|542|308
flexibilitet|0.470988|0.043336|701|476
mångfald|0.470426|0.048094|1933|784
etableringsfrihet|0.468599|0.039917|215|120
stabilitet|0.467586|0.034747|415|246
konkurrens|0.466697|0.034209|4489|1626
konkurrensneutralitet|0.458472|0.036991|409|266
jämlikhet|0.456074|0.030088|100|83
förutsägbarhet|0.455202|0.048695|101|90
könen|0.455066|0.045916|118|80
neutralitet|0.455052|0.059021|96|85
solidaritet|0.450356|0.034053|120|86
